Component, Received From Tejas, Consumption, Scrap, Balance, Returned Quantity, Returned Accounted Quantity, Unaccounted Return Quantity, Is Balancing, Remaining Rows in Results, Balance In Annexure
999-ACC000220-E, 100, 100, 0, 0, 0, 0, 0, true, 0, null
999-ACC316029-E, 500, 168, 8, 129, 195, 195, 0, true, 0, 1618
999-ACCE17751-E, 839, 396, 29, 184, 422, 230, 192, true, 0, 1523
999-ACCEA7751-E, 1170, 658, 32, 24, 502, 456, 46, true, 0, 1610
999-ADC000029-E, 870, 861, 0, 1, 8, 8, 0, true, 0, 157
999-AHC000001-E, 842, 252, 0, 35, 555, 555, 0, true, 0, 1579
999-AHC936001-E, 973, 160, 0, 501, 900, 312, 588, true, 0, 119
999-AIC000051-E, 1733, 861, 72, 629, 854, 171, 683, true, 0, 1597
999-AJC000039-E, 200, 85, 9, 0, 106, 106, 0, true, 0, null
999-AJC000062-E, 207, 40, 2, 0, 165, 165, 0, true, 0, null
999-AOC000010-E, 2502, 1910, 0, 35, 557, 557, 0, true, 0, 142
999-AOC000066-E, 601, 110, 0, 11, 480, 480, 0, true, 0, 1550
999-AOC000069-E, 530, 110, 0, 15, 405, 405, 0, true, 0, 1533
999-AOC000086-E, 526, 110, 0, 9, 407, 407, 0, true, 0, 1533
999-ARC000002-E, 540, 198, 0, 1, 360, 341, 19, true, 0, 120
999-AXC000049-E, 793, 510, 36, 92, 270, 155, 115, true, 0, 1867
999-AXCT00086-E, 300, 60, 5, 0, 235, 235, 0, true, 0, null
