Component, Board, Invoice Number, Invoice Date, Board Quantity, Component Consumption, Total Component Quantity
110-CCA000011-M,115-PCA000039-E,176,05-Aug-15,5,1,5
110-CCA000011-M,115-PCA000039-E,179,10-Aug-15,4,1,4
110-CCA000011-M,115-PCA000039-E,191,21-Sep-15,2,1,2
110-CCA000011-M,115-PCA000039-E,243,19-Jan-16,3,1,3
110-CDA000003-M,115-PCA000007-E,192,11-Feb-15,21,1,21
110-CDA000003-M,115-PCA000007-E,199,16-Feb-15,18,1,18
110-CDA000003-M,115-PCA000007-E,338,30-Mar-15,6,1,6
110-CGC000006-M,115-PCA000007-E,192,11-Feb-15,21,1,21
110-CGC000006-M,115-PCA000007-E,199,16-Feb-15,18,1,18
110-CGC000006-M,115-PCA000007-E,338,30-Mar-15,6,1,6
110-CGC000036-M,115-PCA000039-E,196,13-Feb-15,50,1,50
110-CGC000036-M,115-PCA000039-E,199,16-Feb-15,23,1,23
110-CGC000036-M,115-PCA000039-E,260,13-Mar-15,1,1,1
110-CGC000036-M,115-PCA000039-E,327,30-Mar-15,5,1,5
110-CGC000036-M,115-PCA000039-E,339,30-Mar-15,3,1,3
110-CGC000036-M,115-PCA000039-E,340,30-Mar-15,16,1,16
110-CGC000036-M,115-PCA000039-E,171,31-Jul-15,2,1,2
110-CGC000036-M,115-PCA000039-E,176,05-Aug-15,5,1,5
110-CGC000036-M,115-PCA000039-E,179,10-Aug-15,4,1,4
110-CGC000036-M,115-PCA000039-E,191,21-Sep-15,2,1,2
110-CGC000036-M,115-PCA000039-E,243,19-Jan-16,3,1,3
110-CGC000037-M,115-PCA000037-E,202,18-Feb-15,3,1,3
110-CGC000037-M,115-PCA000037-E,207,20-Feb-15,15,1,15
110-CGC000037-M,115-PCA000037-E,213,23-Feb-15,8,1,8
110-CGC000037-M,115-PCA000037-E,214,24-Feb-15,13,1,13
110-CGC000037-M,115-PCA000037-E,219,25-Feb-15,1,1,1
110-CGC000037-M,115-PCA000037-E,248,07-Mar-15,1,1,1
110-CGC000037-M,115-PCA000037-E,263,13-Mar-15,5,1,5
110-CGC000037-M,115-PCA000037-E,267,14-Mar-15,4,1,4
110-CGC000037-M,115-PCA000037-E,279,17-Mar-15,3,1,3
110-CGC000037-M,115-PCA000037-E,280,17-Mar-15,1,1,1
110-CGC000037-M,115-PCA000037-E,283,18-Mar-15,1,1,1
110-CGC000037-M,115-PCA000037-E,295,19-Mar-15,1,1,1
110-CGC000037-M,115-PCA000037-E,309,26-Mar-15,11,1,11
110-CGC000037-M,115-PCA000037-E,326,30-Mar-15,5,1,5
110-CGC000037-M,115-PCA000037-E,337,30-Mar-15,15,1,15
110-CGC000037-M,115-PCA000037-E,79,03-Jun-15,1,1,1
110-CGC000037-M,115-PCA000037-E,81,05-Jun-15,6,1,6
110-CGC000037-M,115-PCA000037-E,92,11-Jun-15,3,1,3
110-CGC000037-M,115-PCA000037-E,95,13-Jun-15,8,1,8
110-CGC000037-M,115-PCA000037-E,109,19-Jun-15,1,1,1
110-CGC000037-M,115-PCA000037-E,120,30-Jun-15,5,1,5
110-CGC000037-M,115-PCA000037-E,125,02-Jul-15,3,1,3
110-CGC000037-M,115-PCA000037-E,146,15-Jul-15,6,1,6
