Component, Received From Tejas, Consumption, Scrap, Balance, Returned Quantity, Returned Accounted Quantity, Unaccounted Return Quantity, Is Balancing, Remaining Rows in Results, Balance In Annexure,,Scrap+Balance-Unnacc,
999-CLC000398-E,870,859,11,0,0,0,0, true,0,1280,,,
120-CGC000040-M,16000,7025,8975,0,0,0,0, true,0,225,,,
170-CCA000032-M,157,114,0,0,43,43,0, true,0,31,,,
170-CCA000033-M,157,114,0,0,43,43,0, true,0,1137,,,
170-CDA000024-M,157,114,0,0,43,43,0, true,0,1137,,,
170-CGC000056-M,157,114,2,0,41,41,0, true,0,1191,,,
170-CGC000058-M,315,228,0,0,87,87,0, true,0,1137,,,
170-CGC000059-M,315,228,0,0,87,87,0, true,0, null,,,
170-CGC000098-M,160,114,0,0,46,46,0, true,0,1137,,,
170-PCC000065-E,162,114,38,0,10,10,0, true,0, null,,,
998-CPC000207-M,2000,1991,0,9,693,0,693, true,0,161,,-684,
998-CPC000570-M,164,114,50,0,0,0,0, true,0, null,,,
998-CPC000635-M,164,114,6,0,44,44,0, true,0, null,,,
998-CPC000952-M,164,114,0,0,50,50,0, true,0, null,,,
998-CPC000953-M,164,114,5,0,45,45,0, true,0, null,,,
999-ABC000007-E,32095,16039,1227,0,14829,14829,0, true,0,1522,,,
999-ACC000051-E,1626,488,48,1090,991,0,991, true,0,32,,147,99
999-ACC000052-E,640738,251333,13099,0,376306,376306,0, true,0,1339,,,
999-ACC000053-E,35758,14085,1290,465,20714,19918,796, true,0,1553,,959,-331
999-ACC000142-E,4540,4062,199,279,495,0,495, true,0,33,,-17,
999-ACC000230-E,1700,1140,48,458,553,54,499, true,0,32,,7,-41
999-ACC000232-E,103909,45984,713,0,57212,57212,0, true,0,1762,,,
999-ACC000366-E,800,456,45,0,299,299,0, true,0,1137,,,
999-ACC316027-E,2028,1032,207,0,789,789,0, true,0,1351,,,
999-ADC000001-E,3310,2588,136,0,586,586,0, true,0,1533,,,
999-AHCA16001-E,7033,3904,152,0,2977,2977,0, true,0,1493,,,
999-AXC000071-E,211,114,0,0,97,97,0, true,0, null,,,
999-AYC000184-E,4430,1374,231,0,2825,2825,0, true,0,1580,,,
999-AYC000207-E,10163,4964,410,4789,4850,0,4850, true,0,102,,349,-61
999-AYC000217-E,10780,2938,1501,0,6341,6341,0, true,0,1243,,,
999-AYC000477-E,200,114,15,0,71,71,0, true,0, null,,,
999-BEC000236-E,595,244,33,0,318,318,0, true,0,1740,,,
999-BRC000082-E,168,114,5,0,49,49,0, true,0,40,,,
999-CAC000004-E,3275,2013,8,0,1254,1254,0, true,0,1647,,,
999-CAC001281-E,278,114,0,0,164,164,0, true,0,1298,,,
999-CAC001283-E,630,456,0,0,174,174,0, true,0,1137,,,
999-CBC000046-E,2471,1738,0,733,1038,0,1038, true,0,1523,,-305,
999-CECCAC019-M,3000,2166,98,0,736,736,0, true,0,1137,,,
999-CIC000040-E,1940,1482,345,0,113,113,0, true,0,1249,,,
999-CJC000002-M,157,114,1,0,42,42,0, true,0,1137,,,
999-CJC000003-M,157,114,0,43,44,0,44, true,0,31,,-1,
999-CKC000029-E,180,134,1,0,45,45,0, true,0, null,,,
999-CKC000138-E,162,114,1,0,47,47,0, true,0,31,,,
999-CLC000054-E,2700,806,92,0,1802,1802,0, true,0,1639,,,
160-CDC000049-M,275,199,0,0,76,76,0, true,0,1386,,,
999-BVC000001-E,1609,419,18,0,1172,1172,0, true,0,1740,,,
999-CAC000006-E,3400,1494,10,0,1896,1896,0, true,0,1523,,,
